,id,imdb_id,release_year,popularity,budget,revenue,runtime,vote_average,variable,value,profit
54,257088,tt2058673,2015,2.6144990000000004,105000000,133718711,114,5.5,Action,1,28718711
59,201088,tt2717822,2015,2.5507470000000003,70000000,17752940,133,5.0,Action,1,-52247060
60,273481,tt3397884,2015,2.487849,30000000,84025816,121,7.1,Action,1,54025816
61,166424,tt1502712,2015,2.4870419999999998,120000001,167977596,100,4.4,Action,1,47977595
63,238713,tt3079380,2015,2.404473,65000000,235666219,120,6.9,Action,1,170666219
65,249070,tt2679042,2015,2.354654,35000000,82347656,96,5.5,Action,1,47347656
66,205775,tt1390411,2015,2.345821,100000000,93820758,122,6.4,Action,1,-6179242
67,334074,tt3247714,2015,2.331636,20000000,10824,96,5.4,Action,1,-19989176
74,347096,tt3478232,2015,2.165433,14678640,10824,108,5.1,Action,1,-14667816
84,290764,tt2401097,2015,2.0266509999999998,11000000,1863315,94,5.9,Action,1,-9136685
92,370687,tt3608646,2015,1.876037,14678640,10824,0,5.4,Action,1,-14667816
93,307663,tt3480796,2015,1.872696,10000000,10824,96,4.1,Action,1,-9989176
99,256961,tt3450650,2015,1.73518,30000000,107597242,94,5.3,Action,1,77597242
101,254302,tt0462335,2015,1.661789,14678640,10824,119,5.4,Action,1,-14667816
103,292040,tt3321300,2015,1.646664,14678640,10824,104,5.6,Action,1,-14667816
109,336004,tt3276924,2015,1.449072,8900000,50136,93,5.4,Action,1,-8849864
112,192141,tt1781922,2015,1.41239,5000000,54418872,103,6.7,Action,1,49418872
114,261392,tt3316948,2015,1.3882510000000001,28000000,28208085,96,5.9,Action,1,208085
116,297291,tt3086386,2015,1.38032,14678640,10824,105,4.5,Action,1,-14667816
120,287948,tt2938956,2015,1.3558219999999999,25000000,72629670,96,5.3,Action,1,47629670
122,277355,tt1945084,2015,1.342839,14678640,10824,90,5.1,Action,1,-14667816
135,266396,tt2515034,2015,1.225325,40000000,10664749,115,5.6,Action,1,-29335251
137,268920,tt2967224,2015,1.178831,35000000,51680201,87,5.5,Action,1,16680201
140,300803,tt3829170,2015,1.144808,14678640,10824,97,4.5,Action,1,-14667816
149,346808,tt3181776,2015,1.041922,20000000,10824,96,5.8,Action,1,-19989176
153,308504,tt2493486,2015,1.021441,14678640,3643591,115,6.3,Action,1,-11035049
159,251516,tt3472226,2015,0.953046,630019,10824,31,7.7,Action,1,-619195
164,228968,tt2917388,2015,0.91704,14678640,10824,95,5.8,Action,1,-14667816
171,248574,tt1731701,2015,0.880268,14678640,6075,96,5.5,Action,1,-14672565
173,326425,tt4382872,2015,0.872149,14678640,16775,83,4.2,Action,1,-14661865
175,277217,tt3440298,2015,0.848748,14678640,10824,112,6.7,Action,1,-14667816
181,322456,tt4189260,2015,0.821443,14678640,10824,48,6.4,Action,1,-14667816
185,365806,tt4856322,2015,0.810667,14678640,10824,67,5.3,Action,1,-14667816
218,360055,tt4642044,2015,0.633608,14678640,10824,88,5.0,Action,1,-14667816
226,321528,tt4324274,2015,0.589472,14678640,10824,72,6.8,Action,1,-14667816
250,318954,tt2433040,2015,0.514735,14678640,1236094,103,6.2,Action,1,-13442546
256,240483,tt2145829,2015,0.48635100000000003,21000000,10824,90,4.9,Action,1,-20989176
257,321494,tt3625152,2015,0.482422,14678640,10824,90,4.7,Action,1,-14667816
258,353595,tt4938416,2015,0.47784,14678640,10824,67,6.8,Action,1,-14667816
260,264337,tt3233418,2015,0.475473,14678640,10824,83,6.6,Action,1,-14667816
268,309887,tt3525346,2015,0.467556,5300000,10824,85,5.8,Action,1,-5289176
273,323027,tt4324302,2015,0.45293900000000004,14678640,10824,76,6.9,Action,1,-14667816
275,253626,tt3297330,2015,0.45016000000000006,14678640,316472,104,5.7,Action,1,-14362168
277,329637,tt2621446,2015,0.444193,14678640,10824,88,4.1,Action,1,-14667816
286,335077,tt2784134,2015,0.43708800000000003,14678640,10824,88,3.5,Action,1,-14667816
288,274504,tt1735907,2015,0.43307299999999893,14678640,10824,105,4.8,Action,1,-14667816
289,244316,tt1694021,2015,0.429892,10000000,10824,94,5.0,Action,1,-9989176
301,307479,tt3465074,2015,0.40969799999999995,14678640,10824,88,4.4,Action,1,-14667816
303,323660,tt4296026,2015,0.404511,14678640,10824,90,3.8,Action,1,-14667816
307,328595,tt3479316,2015,0.398982,14678640,10824,83,6.1,Action,1,-14667816
309,329540,tt3528666,2015,0.394466,1950000,10824,90,5.7,Action,1,-1939176
311,360387,tt3520290,2015,0.39356599999999997,1000000,10824,92,4.4,Action,1,-989176
312,362185,tt3849692,2015,0.391326,14678640,10824,88,5.4,Action,1,-14667816
318,342927,tt4685096,2015,0.378836,14678640,10824,90,3.8,Action,1,-14667816
319,361159,tt4511566,2015,0.37668,14678640,10824,97,3.3,Action,1,-14667816
320,365805,tt4227282,2015,0.411416,14678640,10824,83,3.6,Action,1,-14667816
326,339533,tt4547120,2015,0.369108,14678640,10824,90,3.7,Action,1,-14667816
337,348811,tt3779300,2015,0.35651900000000003,14678640,10824,92,4.9,Action,1,-14667816
338,310135,tt3672742,2015,0.354624,14678640,10824,95,6.6,Action,1,-14667816
349,339530,tt4180514,2015,0.336453,14678640,10824,99,5.1,Action,1,-14667816
352,395883,tt4073890,2015,0.333656,14678640,10824,100,4.7,Action,1,-14667816
356,342917,tt4729754,2015,0.329776,14678640,10824,81,6.1,Action,1,-14667816
357,79698,tt1321869,2015,0.32910900000000004,27000000,10824,109,4.6,Action,1,-26989176
360,327418,tt4437640,2015,0.32705,14678640,10824,78,5.8,Action,1,-14667816
376,351901,tt3957956,2015,0.300128,14678640,10824,90,4.5,Action,1,-14667816
383,297556,tt3878542,2015,0.40436300000000003,3500000,10824,72,6.5,Action,1,-3489176
417,326284,tt3488328,2015,0.24828000000000003,7500000,10824,104,5.4,Action,1,-7489176
419,277558,tt2124787,2015,0.24758899999999998,14678640,10824,90,4.8,Action,1,-14667816
431,325173,tt3511596,2015,0.23949600000000001,14678640,10824,80,5.0,Action,1,-14667816
469,311615,tt4184878,2015,0.198261,14678640,10824,84,5.3,Action,1,-14667816
473,360203,tt3593046,2015,0.253157,14678640,10824,95,5.5,Action,1,-14667816
478,332976,tt3503840,2015,0.189135,14678640,10824,95,5.0,Action,1,-14667816
479,367551,tt4733536,2015,0.28365,14678640,10824,86,5.2,Action,1,-14667816
480,353610,tt4151192,2015,0.270408,14678640,10824,90,4.0,Action,1,-14667816
483,339362,tt3055402,2015,0.18198699999999998,14678640,10824,82,5.4,Action,1,-14667816
484,323966,tt3120960,2015,0.179636,14678640,10824,97,4.6,Action,1,-14667816
505,329556,tt2186848,2015,0.14964,1000000,10824,110,5.7,Action,1,-989176
510,315024,tt2905674,2015,0.145489,14678640,10824,88,5.7,Action,1,-14667816
520,327029,tt4475970,2015,0.138353,14678640,10824,14,7.4,Action,1,-14667816
554,341077,tt2911674,2015,0.101155,14678640,10824,80,5.3,Action,1,-14667816
556,330037,tt3802576,2015,0.099678,14678640,10824,156,6.3,Action,1,-14667816
567,298032,tt3058674,2015,0.088912,14678640,10824,79,4.0,Action,1,-14667816
574,340247,tt1974382,2015,0.156386,14678640,10824,95,5.3,Action,1,-14667816
596,332177,tt3746298,2015,0.051107,14678640,10824,90,5.9,Action,1,-14667816
599,332479,tt4550996,2015,0.047256,14678640,10824,7,7.6,Action,1,-14667816
629,118340,tt2015381,2014,14.311205,170000000,773312399,121,7.9,Action,1,603312399
630,100402,tt1843866,2014,12.971027000000001,170000000,714766572,136,7.6,Action,1,544766572
631,245891,tt2911666,2014,11.422751,20000000,78739897,101,7.0,Action,1,58739897
634,177572,tt2245084,2014,8.691294000000001,165000000,652105443,102,7.8,Action,1,487105443
636,198663,tt1790864,2014,7.1372729999999995,34000000,348319861,113,7.0,Action,1,314319861
639,228150,tt2713180,2014,6.415818,68000000,211817906,135,7.4,Action,1,143817906
641,157350,tt1840309,2014,6.14502,85000000,288747895,139,6.9,Action,1,203747895
642,127585,tt1877832,2014,6.052479,250000000,746000000,131,7.6,Action,1,496000000
643,240832,tt2872732,2014,5.947136,40000000,463360063,89,6.3,Action,1,423360063
644,98566,tt1291150,2014,5.787396,125000000,477200000,101,5.8,Action,1,352200000
647,91314,tt2109248,2014,4.983782,210000000,245500000,165,5.9,Action,1,35500000
650,119450,tt2103281,2014,4.452507,170000000,708200000,130,7.4,Action,1,538200000
651,156022,tt0455944,2014,4.1452089999999995,55000000,192330738,132,7.2,Action,1,137330738
653,102382,tt1872181,2014,4.101979,200000000,705717432,142,6.6,Action,1,505717432
654,137113,tt1631867,2014,3.990452,178000000,370541256,113,7.7,Action,1,192541256
655,228967,tt2788710,2014,3.9892309999999997,44000000,11305175,112,6.1,Action,1,-32694825
656,190859,tt2179136,2014,3.8630739999999997,58800000,542307423,134,7.5,Action,1,483507423
657,147441,tt1528100,2014,3.81374,140000000,268031828,153,5.6,Action,1,128031828
658,124905,tt0831387,2014,3.689601,160000000,529076069,123,6.2,Action,1,369076069
659,102651,tt1587310,2014,3.5823150000000004,180000000,758410378,97,7.0,Action,1,578410378
660,254904,tt2402157,2014,3.573028,15000000,32556119,108,6.0,Action,1,17556119
662,82702,tt1646971,2014,3.4891059999999996,145000000,609123048,102,7.7,Action,1,464123048
664,138103,tt2333784,2014,3.34625,90000000,206172544,127,6.2,Action,1,116172544
665,137106,tt1490017,2014,3.3277989999999997,60000000,469160692,100,7.5,Action,1,409160692
670,49017,tt0829150,2014,3.028769,70000000,215529201,92,6.1,Action,1,145529201
673,53182,tt1253863,2014,2.979181,110000000,337580051,102,6.1,Action,1,227580051
675,187017,tt2294449,2014,2.8050189999999997,50000000,188441614,112,7.0,Action,1,138441614
681,218043,tt2467046,2014,2.601775,16000000,19682924,110,3.8,Action,1,3682924
683,241239,tt2937898,2014,2.576396,20000000,12007070,125,6.4,Action,1,-7992930
684,184315,tt1267297,2014,2.549403,100000000,243400000,99,5.6,Action,1,143400000
687,256092,tt2968804,2014,2.493306,12000000,10824,96,4.0,Action,1,-11989176
695,168530,tt1408253,2014,2.1654619999999998,25000000,153997819,99,6.1,Action,1,128997819
698,137094,tt1205537,2014,2.141491,60000000,50549107,105,5.9,Action,1,-9450893
699,225574,tt2024469,2014,2.1367580000000004,50000000,222809600,106,6.8,Action,1,172809600
702,321068,tt3405714,2014,2.0785139999999998,14678640,10824,93,5.3,Action,1,-14667816
704,97020,tt1234721,2014,1.9407349999999999,120000000,239379423,102,5.7,Action,1,119379423
714,152760,tt2177771,2014,1.7798610000000001,70000000,154984035,118,5.7,Action,1,84984035
721,76649,tt1921064,2014,1.638781,130000000,117831631,105,5.1,Action,1,-12168369
727,136797,tt2369135,2014,1.541069,66000000,203277636,130,6.2,Action,1,137277636
729,262338,tt1361318,2014,1.466453,14678640,10824,90,5.2,Action,1,-14667816
733,241254,tt1085492,2014,1.394382,18000000,266586800,93,4.6,Action,1,248586800
736,253980,tt3438640,2014,1.375493,14678640,10824,14,7.1,Action,1,-14667816
739,216282,tt2106361,2014,1.3155,50000000,160602194,89,5.7,Action,1,110602194
740,289720,tt1552224,2014,1.312103,25000000,10824,98,4.4,Action,1,-24989176
741,192102,tt2172934,2014,1.3045879999999999,28000000,10824,113,6.0,Action,1,-27989176
743,252178,tt2614684,2014,1.220073,14678640,1625847,99,6.6,Action,1,-13052793
744,144336,tt1742334,2014,1.214094,35000000,17508518,110,5.4,Action,1,-17491482
768,254473,tt1430612,2014,0.9796549999999999,28000000,68896829,90,5.8,Action,1,40896829
774,250066,tt2923316,2014,0.954807,10000000,10824,94,4.3,Action,1,-9989176
775,169298,tt2544734,2014,0.9449540000000001,3000000,10824,87,4.4,Action,1,-2989176
777,260339,tt2904626,2014,0.9287709999999999,14678640,10824,93,6.3,Action,1,-14667816
782,241848,tt2980592,2014,0.916435,5000000,2367161,99,6.6,Action,1,-2632839
790,192712,tt2044801,2014,0.887576,14678640,10824,90,4.2,Action,1,-14667816
794,294652,tt2452200,2014,0.86636,14678640,10824,108,6.1,Action,1,-14667816
798,327833,tt1641841,2014,0.829686,9000000,10824,96,5.6,Action,1,-8989176
799,151368,tt2409818,2014,0.81219,14678640,10824,101,5.1,Action,1,-14667816
800,230179,tt2088003,2014,0.8058390000000001,8500000,7500000,90,5.2,Action,1,-1000000
816,242643,tt3139086,2014,0.72975,14678640,4571025,75,7.4,Action,1,-10107615
823,260202,tt2904608,2014,0.708006,14678640,10824,95,6.3,Action,1,-14667816
833,255268,tt2996648,2014,0.678616,5500000,10824,91,5.7,Action,1,-5489176
837,242310,tt2401807,2014,0.662295,21000000,10824,98,5.2,Action,1,-20989176
857,252830,tt2909476,2014,0.593438,14678640,10824,96,3.1,Action,1,-14667816
867,258750,tt3141912,2014,0.560295,14678640,10824,86,4.7,Action,1,-14667816
875,269173,tt2962726,2014,0.550453,14678640,10824,97,4.7,Action,1,-14667816
876,227300,tt2494280,2014,0.550197,14678640,10824,94,5.8,Action,1,-14667816
882,256474,tt2101570,2014,0.536511,10000000,10824,108,5.2,Action,1,-9989176
895,188207,tt1043726,2014,0.49583999999999995,70000000,61279452,99,4.4,Action,1,-8720548
897,254474,tt2784512,2014,0.494022,14678640,14947,85,4.8,Action,1,-14663693
904,290555,tt1403241,2014,0.48019399999999995,18000000,10824,90,5.3,Action,1,-17989176
907,203739,tt1686821,2014,0.472703,14678640,10824,104,5.8,Action,1,-14667816
911,280690,tt2372222,2014,0.466373,14678640,10824,146,6.2,Action,1,-14667816
912,245473,tt2762970,2014,0.46628400000000003,14678640,10824,90,6.1,Action,1,-14667816
915,256731,tt2350892,2014,0.46087,14678640,10824,95,5.7,Action,1,-14667816
925,190469,tt2275946,2014,0.444337,2700000,10824,99,5.7,Action,1,-2689176
929,312526,tt2474972,2014,0.43048800000000004,14678640,10824,93,4.1,Action,1,-14667816
934,243531,tt2325002,2014,0.413991,14678640,10824,88,5.3,Action,1,-14667816
935,277597,tt3598222,2014,0.41329499999999997,14678640,10824,90,4.2,Action,1,-14667816
940,250388,tt3448226,2014,0.40674,14678640,10824,93,5.6,Action,1,-14667816
954,251519,tt3139072,2014,0.382465,14678640,10824,74,6.8,Action,1,-14667816
957,270938,tt2295722,2014,0.380414,14678640,10824,103,5.4,Action,1,-14667816
961,256740,tt2761578,2014,0.375458,3500000,10824,92,4.9,Action,1,-3489176
962,249260,tt2622826,2014,0.389417,14678640,10824,82,3.8,Action,1,-14667816
963,215379,tt2693664,2014,0.510296,14678640,10824,100,5.4,Action,1,-14667816
969,242166,tt1946381,2014,0.359568,25000000,10824,100,3.8,Action,1,-24989176
971,313074,tt3622332,2014,0.35561,14678640,10824,86,5.6,Action,1,-14667816
976,257447,tt2361184,2014,0.350213,14678640,10824,105,5.4,Action,1,-14667816
977,283691,tt3804114,2014,0.34710799999999997,14678640,10824,94,5.2,Action,1,-14667816
980,208869,tt2556874,2014,0.34388,10,10824,102,6.0,Action,1,10814
993,287415,tt3259178,2014,0.331919,1500000,10824,90,4.7,Action,1,-1489176
1008,241843,tt2490326,2014,0.689942,14678640,10824,88,5.2,Action,1,-14667816
1014,256687,tt2112277,2014,0.43435,14678640,10824,96,4.4,Action,1,-14667816
1028,290729,tt3776288,2014,0.292497,14678640,10824,94,5.5,Action,1,-14667816
1041,285387,tt2113636,2014,0.280438,14678640,10824,85,5.3,Action,1,-14667816
1049,286709,tt1396523,2014,0.27169699999999997,5000000,10824,94,5.2,Action,1,-4989176
1058,269650,tt3638012,2014,0.264059,14678640,10824,90,6.4,Action,1,-14667816
1059,216580,tt2378453,2014,0.261284,14678640,10824,91,5.6,Action,1,-14667816
1062,249021,tt3393070,2014,0.258209,14678640,10824,88,3.0,Action,1,-14667816
1070,275619,tt3677466,2014,0.634232,14678640,10824,90,2.4,Action,1,-14667816
1073,283589,tt2905838,2014,0.239862,14678640,10824,153,6.2,Action,1,-14667816
1074,286548,tt3462696,2014,0.23712600000000003,14678640,10824,90,4.2,Action,1,-14667816
1084,286668,tt3480556,2014,0.32145300000000004,7000000,10824,100,4.9,Action,1,-6989176
1088,270771,tt2558318,2014,0.43327299999999996,14678640,10824,95,5.5,Action,1,-14667816
1099,284274,tt3911200,2014,0.21533000000000002,14678640,10824,71,6.2,Action,1,-14667816
1104,287950,tt2389162,2014,0.209046,14678640,10824,77,2.8,Action,1,-14667816
1108,281298,tt3419894,2014,0.20534299999999997,14678640,10824,118,6.8,Action,1,-14667816
1110,264170,tt3643208,2014,0.202776,14678640,10824,3,7.6,Action,1,-14667816
1112,213927,tt2547210,2014,0.20162,14678640,10824,94,5.3,Action,1,-14667816
1114,298093,tt2548208,2014,0.222714,14678640,10824,104,5.5,Action,1,-14667816
1122,241765,tt2198241,2014,0.194413,4000000,10824,94,4.7,Action,1,-3989176
1130,285423,tt3699508,2014,0.189201,14678640,10824,103,5.4,Action,1,-14667816
1131,281778,tt3297792,2014,0.18826400000000001,14678640,10824,93,4.9,Action,1,-14667816
1132,260063,tt2992552,2014,0.08329500000000001,14678640,10824,98,4.7,Action,1,-14667816
1137,256766,tt2006753,2014,0.184506,6000000,10824,85,5.8,Action,1,-5989176
1138,251768,tt3468260,2014,0.184395,14678640,10824,52,5.8,Action,1,-14667816
1141,259453,tt2717318,2014,0.182618,14678640,10824,84,5.2,Action,1,-14667816
1156,258251,tt2404583,2014,0.169396,14678640,10824,108,5.3,Action,1,-14667816
1161,331727,tt3069212,2014,0.166098,14678640,10824,152,6.4,Action,1,-14667816
1168,273621,tt3461828,2014,0.23546799999999998,14678640,10824,97,4.3,Action,1,-14667816
1170,256284,tt3384904,2014,0.110411,14678640,10824,88,5.3,Action,1,-14667816
1176,284711,tt3743126,2014,0.151929,14678640,10824,88,3.7,Action,1,-14667816
1217,250551,tt2574698,2014,0.20035999999999998,14678640,10824,152,5.9,Action,1,-14667816
1229,277594,tt3499424,2014,0.095473,14678640,10824,90,4.1,Action,1,-14667816
1244,305276,tt2724236,2014,0.162234,14678640,10824,89,5.3,Action,1,-14667816
1260,290336,tt2208568,2014,0.07263700000000001,14678640,10824,108,6.5,Action,1,-14667816
1263,287767,tt3495000,2014,0.015668,14678640,10824,133,6.7,Action,1,-14667816
1272,294690,tt1270114,2014,0.063621,14678640,10824,96,4.9,Action,1,-14667816
1290,300900,tt3922754,2014,0.032878,14678640,10824,87,5.2,Action,1,-14667816
1299,283322,tt3399916,2014,0.020923,14678640,5240,108,6.0,Action,1,-14673400
1316,296690,tt3380264,2014,0.044654,14678640,10824,127,5.2,Action,1,-14667816
1327,11,tt0076759,1977,12.037933,11000000,775398007,121,7.9,Action,1,764398007
1328,691,tt0076752,1977,2.379469,14000000,185438673,125,6.2,Action,1,171438673
1335,14140,tt0076137,1977,0.9056569999999999,14678640,10824,105,6.4,Action,1,-14667816
1336,11940,tt0076716,1977,0.75125,3500000,16000000,113,5.9,Action,1,12500000
1337,25388,tt0076175,1977,0.622492,14678640,10824,107,6.1,Action,1,-14667816
1340,11006,tt0076729,1977,0.541642,14678640,126737428,96,6.9,Action,1,112058788
1342,17689,tt0076070,1977,0.49548000000000003,5500000,26414658,109,6.7,Action,1,20914658
1343,10839,tt0074695,1977,0.474001,6000000,10824,132,6.0,Action,1,-5989176
1350,7227,tt0075648,1977,0.373131,6000000,30000000,114,5.7,Action,1,24000000
1353,21948,tt0076637,1977,0.320214,14678640,10824,95,6.3,Action,1,-14667816
1354,26842,tt0074896,1977,0.318679,14678640,10824,177,7.2,Action,1,-14667816
1357,50374,tt0075765,1977,0.28016599999999997,14678640,10824,143,6.1,Action,1,-14667816
1362,38985,tt0076740,1977,0.219941,22000000,12000000,121,7.4,Action,1,-10000000
1369,10670,tt0076636,1977,0.15041,14678640,10824,119,6.0,Action,1,-14667816
1384,19995,tt0499549,2009,9.432768,237000000,2781505847,162,7.1,Action,1,2544505847
1385,16869,tt0361748,2009,6.098027,70000000,319131050,153,7.7,Action,1,249131050
1386,12437,tt0834001,2009,5.806897,35000000,91327197,92,6.2,Action,1,56327197
1389,13475,tt0796366,2009,3.82957,150000000,385680446,127,7.3,Action,1,235680446
1390,534,tt0438488,2009,3.7896330000000003,200000000,371353001,115,5.8,Action,1,171353001
1391,17654,tt1136608,2009,3.7449559999999997,30000000,210819611,112,7.1,Action,1,180819611
1392,10528,tt0988045,2009,3.4315589999999996,90000000,524028679,128,6.9,Action,1,434028679
1396,13183,tt0409459,2009,3.038063,130000000,185258983,162,6.8,Action,1,55258983
1397,14161,tt1190080,2009,2.9797860000000003,200000000,769653595,158,5.6,Action,1,569653595
1398,12244,tt0472033,2009,2.8464650000000002,30000000,48428063,79,6.5,Action,1,18428063
1405,14869,tt1046173,2009,1.906998,175000000,302469017,118,5.7,Action,1,127469017
1412,18360,tt1078912,2009,1.752134,150000000,413106170,105,5.9,Action,1,263106170
1417,14560,tt1114740,2009,1.6417389999999898,26000000,183293131,91,5.4,Action,1,157293131
1421,15092,tt1121931,2009,1.487114,20000000,34560577,96,5.9,Action,1,14560577
1422,19898,tt1188729,2009,1.453639,33000000,20645327,108,6.2,Action,1,-12354673
1426,13811,tt0448011,2009,1.357091,50000000,155446362,121,5.7,Action,1,105446362
1428,19585,tt0436339,2009,1.324927,150000000,292817841,88,5.1,Action,1,142817841
1434,18501,tt1034032,2009,1.267182,50000000,40828540,95,5.6,Action,1,-9171460
1435,19543,tt1150934,2009,1.264202,14678640,10824,89,3.6,Action,1,-14667816
1454,16995,tt0473705,2009,1.04373799999999,60000000,87784194,127,6.6,Action,1,27784194
1463,19901,tt0433362,2009,0.966959,20000000,51416464,98,5.9,Action,1,31416464
1469,13455,tt0465580,2009,0.9074479999999999,38000000,45465299,111,5.8,Action,1,7465299
1476,22787,tt0365929,2009,0.850476,40000000,12206028,101,5.2,Action,1,-27793972
1482,17134,tt1160368,2009,0.826039,20000000,17280326,108,5.9,Action,1,-2719674
1483,15809,tt1300853,2009,0.817983,8000000,10824,94,5.2,Action,1,-7989176
1485,8373,tt1055369,2009,0.8133229999999989,150000000,836297228,150,6.0,Action,1,686297228
1488,22832,tt1186367,2009,0.7967609999999989,40000000,60462347,99,6.1,Action,1,20462347
1502,17445,tt1384590,2009,0.725654,3500000,10824,75,6.2,Action,1,-3489176
1503,24056,tt0471041,2009,0.720352,8000000,10824,95,5.7,Action,1,-7989176
1510,105077,tt1286130,2009,0.690602,14678640,10824,112,6.4,Action,1,-14667816
1513,26715,tt1212974,2009,0.66342,14678640,199436,109,4.5,Action,1,-14479204
1516,22821,tt1300851,2009,0.652939,8000000,10629321,118,5.9,Action,1,2629321
1520,4597,tt0913354,2009,0.6300680000000001,20000000,22942221,88,5.6,Action,1,2942221
1521,25769,tt0806203,2009,0.619369,14678640,5802422,84,5.7,Action,1,-8876218
1525,24418,tt0450405,2009,0.608282,40000000,28169671,109,5.5,Action,1,-11830329
1531,16577,tt0375568,2009,0.595489,65000000,44091067,94,6.0,Action,1,-20908933
1535,28510,tt1288403,2009,0.582225,14000000,875386,97,5.3,Action,1,-13124614
1536,13804,tt1013752,2009,0.580292,85000000,363164265,107,6.4,Action,1,278164265
1541,14979,tt1112782,2009,0.569435999999999,25000000,10824,104,5.6,Action,1,-24989176
1548,17336,tt1082601,2009,0.547651,14678640,32474120,105,5.7,Action,1,17795480
1549,15357,tt1247640,2009,0.544071,15000000,8786375,101,5.9,Action,1,-6213625
1563,71883,tt1483797,2009,0.515547,14678640,10824,102,7.2,Action,1,-14667816
1568,22855,tt1398941,2009,0.502164,14678640,10824,67,6.8,Action,1,-14667816
1573,15359,tt1186373,2009,0.492691,14678640,10824,74,7.2,Action,1,-14667816
1576,26920,tt1587390,2009,0.48705,14678640,10824,36,6.8,Action,1,-14667816
1577,25602,tt1182921,2009,0.486687,10000000,10824,83,5.4,Action,1,-9989176
1582,34769,tt1303828,2009,0.47668699999999997,3500000,44462,101,6.3,Action,1,-3455538
1589,28677,tt1276107,2009,0.47063999999999995,6300000,10824,96,5.5,Action,1,-6289176
1594,38780,tt1337057,2009,0.452402,14678640,10824,85,6.0,Action,1,-14667816
1603,34003,tt1543920,2009,0.430112,14678640,10824,78,5.7,Action,1,-14667816
1604,25941,tt1289406,2009,0.429492,7300000,10329747,103,6.6,Action,1,3029747
1605,19959,tt0986263,2009,0.427479,80000000,122444772,89,5.7,Action,1,42444772
1606,34626,tt1368116,2009,0.42714799999999997,14678640,10824,106,5.9,Action,1,-14667816
1607,22164,tt0346631,2009,0.426762,3700000,10824,93,6.9,Action,1,-3689176
1609,15268,tt0891592,2009,0.426205,50000000,12764201,97,4.1,Action,1,-37235799
1618,26583,tt1296869,2009,0.412708,10000000,10824,94,5.0,Action,1,-9989176
1631,22084,tt1090750,2009,0.400567,14678640,10824,84,4.2,Action,1,-14667816
1634,32985,tt0970452,2009,0.39561599999999997,45000000,7810000,104,5.5,Action,1,-37190000
1635,32678,tt1311699,2009,0.475095,14678640,10824,92,5.9,Action,1,-14667816
1637,21724,tt1153706,2009,0.394271,14678640,10824,83,4.8,Action,1,-14667816
1638,17577,tt1147687,2009,0.393762,10000000,10824,90,3.9,Action,1,-9989176
1641,2080,tt0458525,2009,0.391859,150000000,341131793,107,6.2,Action,1,191131793
1646,176241,tt1131748,2009,0.383827,14678640,10824,89,7.6,Action,1,-14667816
1650,24804,tt1190536,2009,0.37852199999999997,2900000,296557,90,7.4,Action,1,-2603443
1656,14853,tt1214983,2009,0.370303,14678640,10824,94,4.2,Action,1,-14667816
1662,16325,tt1124039,2009,0.365372,14678640,500154,105,5.4,Action,1,-14178486
1689,22820,tt1161418,2009,0.32918000000000003,10000000,10824,89,5.9,Action,1,-9989176
1693,14164,tt1098327,2009,0.32232,100000000,10824,85,3.1,Action,1,-99989176
1697,24051,tt1405412,2009,0.317799,5000000,10824,94,4.9,Action,1,-4989176
1712,14028,tt1208647,2009,0.299873,14678640,10824,94,5.3,Action,1,-14667816
